path,period,strategy,wealth
8,90,buy_and_hold,32.5
8,91,buy_and_hold,16.5
8,92,buy_and_hold,8.5
8,93,buy_and_hold,16.5
8,94,buy_and_hold,32.5
8,95,buy_and_hold,64.5
8,96,buy_and_hold,128.5
8,97,buy_and_hold,64.5
8,98,buy_and_hold,32.5
8,99,buy_and_hold,64.5
8,100,buy_and_hold,128.5
9,0,buy_and_hold,1
9,1,buy_and_hold,1.5
9,2,buy_and_hold,1
9,3,buy_and_hold,1.5
9,4,buy_and_hold,2.5
9,5,buy_and_hold,1.5
9,6,buy_and_hold,1
9,7,buy_and_hold,0.75
9,8,buy_and_hold,0.625
9,9,buy_and_hold,0.5625
9,10,buy_and_hold,0.625
9,11,buy_and_hold,0.5625
9,12,buy_and_hold,0.53125
9,13,buy_and_hold,0.515625
9,14,buy_and_hold,0.53125
9,15,buy_and_hold,0.515625
9,16,buy_and_hold,0.5078125
9,17,buy_and_hold,0.515625
9,18,buy_and_hold,0.5078125
9,19,buy_and_hold,0.515625
9,20,buy_and_hold,0.53125
9,21,buy_and_hold,0.515625
9,22,buy_and_hold,0.53125
9,23,buy_and_hold,0.515625
9,24,buy_and_hold,0.53125
9,25,buy_and_hold,0.515625
9,26,buy_and_hold,0.5078125
9,27,buy_and_hold,0.50390625
9,28,buy_and_hold,0.5078125
9,29,buy_and_hold,0.515625
9,30,buy_and_hold,0.5078125
9,31,buy_and_hold,0.50390625
9,32,buy_and_hold,0.50195312
9,33,buy_and_hold,0.50097656
9,34,buy_and_hold,0.50048828
9,35,buy_and_hold,0.50024414
9,36,buy_and_hold,0.50048828
9,37,buy_and_hold,0.50024414
9,38,buy_and_hold,0.50012207
9,39,buy_and_hold,0.50006104
9,40,buy_and_hold,0.50012207
9,41,buy_and_hold,0.50006104
9,42,buy_and_hold,0.50003052
9,43,buy_and_hold,0.50001526
9,44,buy_and_hold,0.50003052
9,45,buy_and_hold,0.50001526
9,46,buy_and_hold,0.50000763
9,47,buy_and_hold,0.50001526
9,48,buy_and_hold,0.50000763
9,49,buy_and_hold,0.50000381
9,50,buy_and_hold,0.50000191
9,51,buy_and_hold,0.50000095
9,52,buy_and_hold,0.50000048
9,53,buy_and_hold,0.50000024
9,54,buy_and_hold,0.50000012
9,55,buy_and_hold,0.50000006
9,56,buy_and_hold,0.50000012
9,57,buy_and_hold,0.50000006
9,58,buy_and_hold,0.50000003
9,59,buy_and_hold,0.50000006
9,60,buy_and_hold,0.50000003
9,61,buy_and_hold,0.50000006
9,62,buy_and_hold,0.50000012
9,63,buy_and_hold,0.50000024
9,64,buy_and_hold,0.50000048
9,65,buy_and_hold,0.50000024
9,66,buy_and_hold,0.50000048
9,67,buy_and_hold,0.50000024
9,68,buy_and_hold,0.50000048
9,69,buy_and_hold,0.50000095
9,70,buy_and_hold,0.50000191
9,71,buy_and_hold,0.50000095
9,72,buy_and_hold,0.50000048
9,73,buy_and_hold,0.50000024
9,74,buy_and_hold,0.50000012
9,75,buy_and_hold,0.50000024
9,76,buy_and_hold,0.50000048
9,77,buy_and_hold,0.50000024
9,78,buy_and_hold,0.50000048
9,79,buy_and_hold,0.50000095
9,80,buy_and_hold,0.50000191
9,81,buy_and_hold,0.50000381
9,82,buy_and_hold,0.50000191
9,83,buy_and_hold,0.50000381
9,84,buy_and_hold,0.50000763
9,85,buy_and_hold,0.50001526
9,86,buy_and_hold,0.50003052
9,87,buy_and_hold,0.50006104
9,88,buy_and_hold,0.50003052
9,89,buy_and_hold,0.50006104
9,90,buy_and_hold,0.50012207
9,91,buy_and_hold,0.50006104
9,92,buy_and_hold,0.50012207
9,93,buy_and_hold,0.50024414
9,94,buy_and_hold,0.50048828
9,95,buy_and_hold,0.50024414
9,96,buy_and_hold,0.50048828
9,97,buy_and_hold,0.50097656
9,98,buy_and_hold,0.50195312
9,99,buy_and_hold,0.50097656
9,100,buy_and_hold,0.50048828
10,0,buy_and_hold,1
10,1,buy_and_hold,1.5
10,2,buy_and_hold,2.5
10,3,buy_and_hold,1.5
10,4,buy_and_hold,2.5
10,5,buy_and_hold,1.5
10,6,buy_and_hold,2.5
10,7,buy_and_hold,1.5
10,8,buy_and_hold,2.5
10,9,buy_and_hold,1.5
10,10,buy_and_hold,2.5
10,11,buy_and_hold,4.5
10,12,buy_and_hold,8.5
10,13,buy_and_hold,16.5
10,14,buy_and_hold,8.5
10,15,buy_and_hold,16.5
10,16,buy_and_hold,32.5
10,17,buy_and_hold,16.5
10,18,buy_and_hold,8.5
10,19,buy_and_hold,4.5
10,20,buy_and_hold,2.5
10,21,buy_and_hold,1.5
10,22,buy_and_hold,1
10,23,buy_and_hold,1.5
10,24,buy_and_hold,1
10,25,buy_and_hold,0.75
10,26,buy_and_hold,0.625
10,27,buy_and_hold,0.5625
10,28,buy_and_hold,0.53125
10,29,buy_and_hold,0.515625
10,30,buy_and_hold,0.53125
10,31,buy_and_hold,0.5625
10,32,buy_and_hold,0.625
10,33,buy_and_hold,0.75
10,34,buy_and_hold,0.625
10,35,buy_and_hold,0.75
10,36,buy_and_hold,0.625
10,37,buy_and_hold,0.75
10,38,buy_and_hold,0.625
10,39,buy_and_hold,0.75
10,40,buy_and_hold,1
10,41,buy_and_hold,0.75
10,42,buy_and_hold,1
10,43,buy_and_hold,1.5
10,44,buy_and_hold,1
10,45,buy_and_hold,0.75
10,46,buy_and_hold,0.625
10,47,buy_and_hold,0.75
10,48,buy_and_hold,0.625
10,49,buy_and_hold,0.75
10,50,buy_and_hold,1
10,51,buy_and_hold,1.5
10,52,buy_and_hold,1
10,53,buy_and_hold,0.75
10,54,buy_and_hold,1
10,55,buy_and_hold,0.75
10,56,buy_and_hold,1
10,57,buy_and_hold,0.75
10,58,buy_and_hold,0.625
10,59,buy_and_hold,0.75
10,60,buy_and_hold,0.625
10,61,buy_and_hold,0.75
10,62,buy_and_hold,1
10,63,buy_and_hold,0.75
10,64,buy_and_hold,1
10,65,buy_and_hold,0.75
10,66,buy_and_hold,1
10,67,buy_and_hold,1.5
10,68,buy_and_hold,2.5
10,69,buy_and_hold,4.5
10,70,buy_and_hold,2.5
10,71,buy_and_hold,4.5
